"title","year","metacritic_score","metacritic_rank","oscars_nom","oscars_win","min_oscar_nom_rank","oscar_win_rank","tie_rank"
"The Beautiful City",2006,69,127,0,0,125,14,3
"The Painted Veil",2006,69,128,0,0,125,14,4
"Black Gold",2006,69,129,0,0,125,14,5
"American Hardcore",2006,69,130,0,0,125,14,6
"Forgiving Dr. Mengele",2006,69,131,0,0,125,14,7
"Fan-Fan the Tulip",2006,69,132,0,0,125,14,8
"Absolute Wilson",2006,69,133,0,0,125,14,9
"Nathalie...",2006,69,134,0,0,125,14,10
"Infamous",2006,68,135,0,0,125,14,1
"Apocalypto",2006,68,136,0,0,125,14,2
"Leonard Cohen: I'm Your Man",2006,68,137,0,0,125,14,3
"Monster House",2006,68,138,0,0,125,14,4
"The Illusionist",2006,68,139,0,0,125,14,5
"Charlotte's Web",2006,68,140,0,0,125,14,6
"For Your Consideration",2006,68,141,0,0,125,14,7
"Romántico",2006,68,142,0,0,125,14,8
"The Secret Life of Words",2006,68,143,0,0,125,14,9
"Why We Fight",2006,68,144,0,0,125,14,10
"Friends with Money",2006,68,145,0,0,125,14,11
"Iraq for Sale: The War Profiteers",2006,68,146,0,0,125,14,12
"The Beauty Academy of Kabul",2006,68,147,0,0,125,14,13
"Fratricide",2006,68,148,0,0,125,14,14
"Awesome; I Fuckin' Shot That!",2006,68,149,0,0,125,14,15
"Been Rich All My Life",2006,67,150,0,0,125,14,1
"Russian Dolls",2006,67,151,0,0,125,14,2
"Tales of the Rat Fink",2006,67,152,0,0,125,14,3
"A Guide to Recognizing Your Saints",2006,67,153,0,0,125,14,4
"Saint of 9/11",2006,67,154,0,0,125,14,5
"Brothers of the Head",2006,67,155,0,0,125,14,6
"Stranger Than Fiction",2006,67,156,0,0,125,14,7
"Over the Hedge",2006,67,157,0,0,125,14,8
"Be with Me",2006,67,158,0,0,125,14,9
"Workingman's Death",2006,67,159,0,0,125,14,10
"Once in a Lifetime: The Extraordinary Story of the New York Cosmos",2006,67,160,0,0,125,14,11
"Time to Leave",2006,67,161,0,0,125,14,12
"World Trade Center",2006,66,162,0,0,125,14,1
"Idiocracy",2006,66,163,0,0,125,14,2
"The Prestige",2006,66,164,0,0,125,14,3
"Family Law",2006,66,165,0,0,125,14,4
"SherryBaby",2006,66,166,0,0,125,14,5
"Talladega Nights: The Ballad of Ricky Bobby",2006,66,167,0,0,125,14,6
"Jackass Number Two",2006,66,168,0,0,125,14,7
"The PianoTuner of EarthQuakes",2006,66,169,0,0,125,14,8
"Mission: Impossible III",2006,66,170,0,0,125,14,9
"The Cult of the Suicide Bomber",2006,66,171,0,0,125,14,10
"The Wild Blue Yonder",2006,65,172,0,0,125,14,1
"The Lady in Question Is Charles Busch",2006,65,173,0,0,125,14,2
"...So Goes the Nation",2006,65,174,0,0,125,14,3
"Lemming",2006,65,175,0,0,125,14,4
"Favela Rising",2006,65,176,0,0,125,14,5
"Miami Vice",2006,65,177,0,0,125,14,6
"The Dead Girl",2006,65,178,0,0,125,14,7
"Marie Antoinette",2006,65,179,0,0,125,14,8
"Through the Fire",2006,65,180,0,0,125,14,9
"Twelve and Holding",2006,65,181,0,0,125,14,10
"Clerks II",2006,65,182,0,0,125,14,11
"Unknown White Male",2006,65,183,0,0,125,14,12
"Find Me Guilty",2006,65,184,0,0,125,14,13
"Down in the Valley",2006,65,185,0,0,125,14,14
"Cavite",2006,64,186,0,0,125,14,1
"I Am Taraneh, I Am Fifteen Years Old",2006,64,187,0,0,125,14,2
"The Notorious Bettie Page",2006,64,188,0,0,125,14,3
"That Man: Peter Berlin",2006,64,189,0,0,125,14,4
"Princesas",2006,64,190,0,0,125,14,5
"The Pursuit of Happyness",2006,64,191,0,0,125,14,6
"Eight Below",2006,64,192,0,0,125,14,7
"Look Both Ways",2006,64,193,0,0,125,14,8
"Come Early Morning",2006,64,194,0,0,125,14,9
"Mongolian Ping Pong",2006,64,195,0,0,125,14,10
"Following Sean",2006,64,196,0,0,125,14,11
"Room",2006,64,197,0,0,125,14,12
"The Road to Guantanamo",2006,64,198,0,0,125,14,13
"The U.S. vs. John Lennon",2006,64,199,0,0,125,14,14
"The Outsider",2006,64,200,0,0,125,14,15
"Killer of Sheep",2007,96,1,0,0,29,5,1
"Ratatouille",2007,96,2,0,0,29,5,2
"There Will Be Blood",2007,93,3,1,0,29,5,1
"The Diving Bell and the Butterfly",2007,92,4,0,0,29,5,1
"No Country for Old Men",2007,91,5,1,1,29,5,1
"Persepolis",2007,90,6,0,0,29,5,1
"No End in Sight",2007,89,7,0,0,29,5,1
"Once",2007,88,8,0,0,29,5,1
"Away from Her",2007,88,9,0,0,29,5,2
"This Is England",2007,86,10,0,0,29,5,1
"The Bourne Ultimatum",2007,85,11,0,0,29,5,1
"The Savages",2007,85,12,0,0,29,5,2
"Offside",2007,85,13,0,0,29,5,3
"Knocked Up",2007,85,14,0,0,29,5,4
"Atonement",2007,85,15,1,0,29,5,5
"The Host",2007,85,16,0,0,29,5,6
"In the Shadow of the Moon",2007,84,17,0,0,29,5,1
"Before the Devil Knows You're Dead",2007,84,18,0,0,29,5,2
"My Name Is Albert Ayler",2007,83,19,0,0,29,5,1
"The King of Kong: A Fistful of Quarters",2007,83,20,0,0,29,5,2
"Triad Election",2007,83,21,0,0,29,5,3
"Lake of Fire",2007,83,22,0,0,29,5,4
"Sweeney Todd: The Demon Barber of Fleet Street",2007,83,23,0,0,29,5,5
"The Wind That Shakes the Barley",2007,82,24,0,0,29,5,1
"The Namesake",2007,82,25,0,0,29,5,2
"Michael Clayton",2007,82,26,1,0,29,5,3
"Ten Canoes",2007,82,27,0,0,29,5,4
"Eastern Promises",2007,82,28,0,0,29,5,5
"Juno",2007,81,29,1,0,29,5,1
"Pete Seeger: The Power of Song",2007,81,30,0,0,29,5,2
"Bamako",2007,81,31,0,0,29,5,3
"Hot Fuzz",2007,81,32,0,0,29,5,4
"Hairspray",2007,81,33,0,0,29,5,5
"Paprika",2007,81,34,0,0,29,5,6
"The Simpsons Movie",2007,80,35,0,0,29,5,1
"Lady Chatterley",2007,80,36,0,0,29,5,2
"Deep Water",2007,80,37,0,0,29,5,3
"Joe Strummer: The Future Is Unwritten",2007,79,38,0,0,29,5,1
"Manufactured Landscapes",2007,79,39,0,0,29,5,2
"Brand Upon the Brain!",2007,79,40,0,0,29,5,3
"28 Weeks Later",2007,78,41,0,0,29,5,1
"Control",2007,78,42,0,0,29,5,2
"Private Property",2007,78,43,0,0,29,5,3
"Starting Out in the Evening",2007,78,44,0,0,29,5,4
"Into Great Silence",2007,78,45,0,0,29,5,5
"After the Wedding",2007,78,46,0,0,29,5,6
"Live-In Maid",2007,78,47,0,0,29,5,7
"Zodiac",2007,78,48,0,0,29,5,8
"The Devil Came on Horseback",2007,78,49,0,0,29,5,9
"Rescue Dawn",2007,77,50,0,0,29,5,1
"12:08 East of Bucharest",2007,77,51,0,0,29,5,2
"Private Fears in Public Places",2007,77,52,0,0,29,5,3
"Grindhouse",2007,77,53,0,0,29,5,4
"Stephanie Daley",2007,77,54,0,0,29,5,5
"The Rape of Europa",2007,77,55,0,0,29,5,6
"3:10 to Yuma",2007,76,56,0,0,29,5,1
"Regular Lovers",2007,76,57,0,0,29,5,2
"Nanking",2007,76,58,0,0,29,5,3
"American Gangster",2007,76,59,0,0,29,5,4
"Superbad",2007,76,60,0,0,29,5,5
"Terror's Advocate",2007,75,61,0,0,29,5,1
"In Between Days",2007,75,62,0,0,29,5,2
"Enchanted",2007,75,63,0,0,29,5,3
"An Unreasonable Man",2007,75,64,0,0,29,5,4
"Les amitiés maléfiques",2007,75,65,0,0,29,5,5
"Billy the Kid",2007,75,66,0,0,29,5,6
"Waitress",2007,75,67,0,0,29,5,7
"Sicko",2007,74,68,0,0,29,5,1
"The Orphanage",2007,74,69,0,0,29,5,2
"Golden Door",2007,74,70,0,0,29,5,3
"Bridge to Terabithia",2007,74,71,0,0,29,5,4
"A Mighty Heart",2007,74,72,0,0,29,5,5
"The Italian",2007,74,73,0,0,29,5,6
"My Kid Could Paint That",2007,74,74,0,0,29,5,7
"La faute à Fidel!",2007,74,75,0,0,29,5,8
"U-Carmen e-Khayelitsha",2007,74,76,0,0,29,5,9
"Breach",2007,74,77,0,0,29,5,10
"2 or 3 Things I Know About Him",2007,74,78,0,0,29,5,11
"Red Road",2007,73,79,0,0,29,5,1
"Into the Wild",2007,73,80,0,0,29,5,2
"Time",2007,73,81,0,0,29,5,3
"I'm Not There.",2007,73,82,0,0,29,5,4
"Can Mr. Smith Get to Washington Anymore?",2007,73,83,0,0,29,5,5
"When the Road Bends: Tales of a Gypsy Caravan",2007,73,84,0,0,29,5,6
"'Tis Autumn: The Search for Jackie Paris",2007,73,85,0,0,29,5,7
"Exiled",2007,73,86,0,0,29,5,8
"For the Bible Tells Me So",2007,73,87,0,0,29,5,9
"Rocket Science",2007,73,88,0,0,29,5,10
"The Price of Sugar",2007,73,89,0,0,29,5,11
"China Blue",2007,73,90,0,0,29,5,12
"The Lookout",2007,73,91,0,0,29,5,13
"The Camden 28",2007,73,92,0,0,29,5,14
"The Cats of Mirikitani",2007,73,93,0,0,29,5,15
"ShowBusiness: The Road to Broadway",2007,73,94,0,0,29,5,16
"Gone Baby Gone",2007,72,95,0,0,29,5,1
"Half Moon",2007,72,96,0,0,29,5,2
"God Grew Tired of Us",2007,72,97,0,0,29,5,3
"Strike",2007,72,98,0,0,29,5,4
"Czech Dream",2007,72,99,0,0,29,5,5
"The Life of Reilly",2007,72,100,0,0,29,5,6
"4 Months, 3 Weeks and 2 Days",2008,97,1,0,0,199,6,1
"WALL-E",2008,95,2,0,0,199,6,1
"The Class",2008,92,3,0,0,199,6,1
"Waltz with Bashir",2008,91,4,0,0,199,6,1
"Man on Wire",2008,89,5,0,0,199,6,1
"Slumdog Millionaire",2008,86,6,1,1,199,6,1
"Flight of the Red Balloon",2008,86,7,0,0,199,6,2
"The Edge of Heaven",2008,85,8,0,0,199,6,1
"Alexandra",2008,85,9,0,0,199,6,2
"A Christmas Tale",2008,84,10,0,0,199,6,1
"Up the Yangtze",2008,84,11,0,0,199,6,2
"Milk",2008,84,12,1,0,199,6,3
"My Winnipeg",2008,84,13,0,0,199,6,4
"Momma's Man",2008,84,14,0,0,199,6,5
"Ballast",2008,84,15,0,0,199,6,6
"The Dark Knight",2008,84,16,0,0,199,6,7
"Happy-Go-Lucky",2008,84,17,0,0,199,6,8
"The Secret of the Grain",2008,83,18,0,0,199,6,1
"Chop Shop",2008,83,19,0,0,199,6,2
"Paranoid Park",2008,83,20,0,0,199,6,3
"U2 3D",2008,83,21,0,0,199,6,4
"Trouble the Water",2008,83,22,0,0,199,6,5
"Tell No One",2008,82,23,0,0,199,6,1
"Hunger",2008,82,24,0,0,199,6,2
"Dear Zachary: A Letter to a Son About His Father",2008,82,25,0,0,199,6,3
"Let the Right One In",2008,82,26,0,0,199,6,4
"Taxi to the Dark Side",2008,82,27,0,0,199,6,5
"Rachel Getting Married",2008,82,28,0,0,199,6,6
"Frozen River",2008,82,29,0,0,199,6,7
"Stranded: I've Come from a Plane That Crashed on the Mountains",2008,82,30,0,0,199,6,8
"Chris & Don. A Love Story",2008,81,31,0,0,199,6,1
"Still Life",2008,81,32,0,0,199,6,2
"The Wrestler",2008,81,33,0,0,199,6,3
"Encounters at the End of the World",2008,80,34,0,0,199,6,1
"Wendy and Lucy",2008,80,35,0,0,199,6,2
"Bigger Stronger Faster*",2008,80,36,0,0,199,6,3
"The Band's Visit",2008,80,37,0,0,199,6,4
"Frost/Nixon",2008,80,38,1,0,199,6,5
"Harvard Beats Yale 29-29",2008,79,39,0,0,199,6,1
"I've Loved You So Long",2008,79,40,0,0,199,6,2
"The Order of Myths",2008,79,41,0,0,199,6,3
"Moving Midway",2008,79,42,0,0,199,6,4
"Reprise",2008,79,43,0,0,199,6,5
"Summer Palace",2008,79,44,0,0,199,6,6
"The Visitor",2008,79,45,0,0,199,6,7
"Iron Man",2008,79,46,0,0,199,6,8
"Before I Forget",2008,78,47,0,0,199,6,1
"Hellboy II: The Golden Army",2008,78,48,0,0,199,6,2
"Pray the Devil Back to Hell",2008,78,49,0,0,199,6,3
"The Counterfeiters",2008,78,50,0,0,199,6,4
"Roman Polanski: Wanted and Desired",2008,78,51,0,0,199,6,5
"The Last Mistress",2008,78,52,0,0,199,6,6
"The Betrayal - Nerakhoon",2008,78,53,0,0,199,6,7
"The Pool",2008,77,54,0,0,199,6,1
"Shine a Light",2008,76,55,0,0,199,6,1
"Shotgun Stories",2008,76,56,0,0,199,6,2
"Anita O'Day: The Life of a Jazz Singer",2008,76,57,0,0,199,6,3
"The Unforeseen",2008,76,58,0,0,199,6,4
"Young@Heart",2008,75,59,0,0,199,6,1
"Boy A",2008,75,60,0,0,199,6,2
"The Witnesses",2008,75,61,0,0,199,6,3
"Beauty in Trouble",2008,75,62,0,0,199,6,4
"Mongol: The Rise of Genghis Khan",2008,74,63,0,0,199,6,1
"The Duchess of Langeais",2008,74,64,0,0,199,6,2
"Kung Fu Panda",2008,73,65,0,0,199,6,1
"Obscene",2008,73,66,0,0,199,6,2
"The Girl Cut in Two",2008,73,67,0,0,199,6,3
"Gonzo: The Life and Work of Dr. Hunter S. Thompson",2008,73,68,0,0,199,6,4
"Gran Torino",2008,72,69,0,0,199,6,1
"Berlin",2008,72,70,0,0,199,6,2
"A Secret",2008,72,71,0,0,199,6,3
"Blindsight",2008,72,72,0,0,199,6,4
"Woman on the Beach",2008,72,73,0,0,199,6,5
"Full Battle Rattle",2008,72,74,0,0,199,6,6
"Priceless",2008,72,75,0,0,199,6,7
"Transsiberian",2008,72,76,0,0,199,6,8
"I Served the King of England",2008,72,77,0,0,199,6,9
"Ghost Town",2008,72,78,0,0,199,6,10
"Surfwise",2008,72,79,0,0,199,6,11
"Tuya's Marriage",2008,71,80,0,0,199,6,1
"What Doesn't Kill You",2008,71,81,0,0,199,6,2
"Tropic Thunder",2008,71,82,0,0,199,6,3
"Trumbo",2008,71,83,0,0,199,6,4
"My Brother Is an Only Child",2008,71,84,0,0,199,6,5
"Horton Hears a Who!",2008,71,85,0,0,199,6,6
"Roman de gare",2008,71,86,0,0,199,6,7
"Standard Operating Procedure",2008,70,87,0,0,199,6,1
"Vicky Cristina Barcelona",2008,70,88,0,0,199,6,2
"The Curious Case of Benjamin Button",2008,70,89,1,0,199,6,3
"Love Songs",2008,70,90,0,0,199,6,4
"Caramel",2008,70,91,0,0,199,6,5
"I.O.U.S.A.",2008,70,92,0,0,199,6,6
"Dung che sai duk",2008,69,93,0,0,199,6,1
"Revolutionary Road",2008,69,94,0,0,199,6,2
"Frontrunners",2008,69,95,0,0,199,6,3
"Giorni e nuvole",2008,69,96,0,0,199,6,4
"The Bank Job",2008,69,97,0,0,199,6,5
"Redbelt",2008,69,98,0,0,199,6,6
"Chicago 10",2008,69,99,0,0,199,6,7
"Fear(s) of the Dark",2008,69,100,0,0,199,6,8
"The Go-Getter",2008,69,101,0,0,199,6,9
"Operation Filmmaker",2008,69,102,0,0,199,6,10
"The Business of Being Born",2008,68,103,0,0,199,6,1
"Moscow, Belgium",2008,68,104,0,0,199,6,2
"August Evening",2008,68,105,0,0,199,6,3
"Doubt",2008,68,106,0,0,199,6,4
"Heartbeat Detector",2008,68,107,0,0,199,6,5
"The Black Balloon",2008,68,108,0,0,199,6,6
"Timecrimes",2008,68,109,0,0,199,6,7
"Mad Detective",2008,68,110,0,0,199,6,8
"Theater of War",2008,68,111,0,0,199,6,9
"The Cool School",2008,68,112,0,0,199,6,10
"Praying with Lior",2008,68,113,0,0,199,6,11
"Forgetting Sarah Marshall",2008,67,114,0,0,199,6,1
"Snow Angels",2008,67,115,0,0,199,6,2
"In Bruges",2008,67,116,0,0,199,6,3
"Bolt",2008,67,117,0,0,199,6,4
"Synecdoche, New York",2008,67,118,0,0,199,6,5
"The Take",2008,67,119,0,0,199,6,6
"XXY",2008,67,120,0,0,199,6,7
"Meduzot",2008,67,121,0,0,199,6,8
"Flow: For Love of Water",2008,67,122,0,0,199,6,9
"The Year My Parents Went on Vacation",2008,67,123,0,0,199,6,10
"Alice's House",2008,67,124,0,0,199,6,11
"Son of Rambow",2008,66,125,0,0,199,6,1
"Patti Smith: Dream of Life",2008,66,126,0,0,199,6,2
"Diary of the Dead",2008,66,127,0,0,199,6,3
"Boogie Man: The Lee Atwater Story",2008,66,128,0,0,199,6,4
"Elegy",2008,66,129,0,0,199,6,5
"American Teen",2008,66,130,0,0,199,6,6
"Shelter",2008,66,131,0,0,199,6,7
"Married Life",2008,65,132,0,0,199,6,1
"Eden Lake",2008,65,133,0,0,199,6,2
"Indiana Jones and the Kingdom of the Crystal Skull",2008,65,134,0,0,199,6,3
"Scott Walker: 30 Century Man",2008,65,135,0,0,199,6,4
"Battle for Haditha",2008,65,136,0,0,199,6,5
"Water Lilies",2008,65,137,0,0,199,6,6
"Cadillac Records",2008,65,138,0,0,199,6,7
"Wanted",2008,64,139,0,0,199,6,1
"Fighting for Life",2008,64,140,0,0,199,6,2
"JCVD",2008,64,141,0,0,199,6,3
"A Thousand Years of Good Prayers",2008,64,142,0,0,199,6,4
"Che",2008,64,143,0,0,199,6,5
"Brideshead Revisited",2008,64,144,0,0,199,6,6
"Cloverfield",2008,64,145,0,0,199,6,7
"Lion's Den",2008,64,146,0,0,199,6,8
"Nick and Norah's Infinite Playlist",2008,64,147,0,0,199,6,9
"Nothing But the Truth",2008,64,148,0,0,199,6,10
"The Fall",2008,64,149,0,0,199,6,11
"Pineapple Express",2008,64,150,0,0,199,6,12
"Appaloosa",2008,64,151,0,0,199,6,13
"In Search of a Midnight Kiss",2008,64,152,0,0,199,6,14
"Planet B-Boy",2008,63,153,0,0,199,6,1
"How She Move",2008,63,154,0,0,199,6,2
"The Sisterhood of the Traveling Pants 2",2008,63,155,0,0,199,6,3
"Changeling",2008,63,156,0,0,199,6,4
"A Man Named Pearl",2008,63,157,0,0,199,6,5
"Miss Pettigrew Lives for a Day",2008,63,158,0,0,199,6,6
"Eden",2008,63,159,0,0,199,6,7
"City of Men",2008,63,160,0,0,199,6,8
"Medicine for Melancholy",2008,63,161,0,0,199,6,9
"The Foot Fist Way",2008,63,162,0,0,199,6,10
"Kit Kittredge: An American Girl",2008,63,163,0,0,199,6,11
"The Signal",2008,63,164,0,0,199,6,12
"Burn After Reading",2008,63,165,0,0,199,6,13
"The Spiderwick Chronicles",2008,62,166,0,0,199,6,1
"The Chronicles of Narnia: Prince Caspian",2008,62,167,0,0,199,6,2
"Kabluey",2008,62,168,0,0,199,6,3
"The Duchess",2008,62,169,0,0,199,6,4
"OSS 117: Cairo, Nest of Spies",2008,62,170,0,0,199,6,5
"Expired",2008,62,171,0,0,199,6,6
"Mister Foe",2008,62,172,0,0,199,6,7
"Baghead",2008,62,173,0,0,199,6,8
"Girls Rock!",2008,62,174,0,0,199,6,9
"Stop-Loss",2008,61,175,0,0,199,6,1
"Bustin' Down the Door",2008,61,176,0,0,199,6,2
"Stuck",2008,61,177,0,0,199,6,3
"The Wackness",2008,61,178,0,0,199,6,4
"Brick Lane",2008,61,179,0,0,199,6,5
"Madagascar: Escape 2 Africa",2008,61,180,0,0,199,6,6
"Traitor",2008,61,181,0,0,199,6,7
"Role Models",2008,61,182,0,0,199,6,8
"Red",2008,61,183,0,0,199,6,9
"The Incredible Hulk",2008,61,184,0,0,199,6,10
"The Universe of Keith Haring",2008,61,185,0,0,199,6,11
"Fugitive Pieces",2008,60,186,0,0,199,6,1
"Blind Mountain",2008,60,187,0,0,199,6,2
"Body of War",2008,60,188,0,0,199,6,3
"Under the Same Moon (La misma luna)",2008,59,189,0,0,199,6,1
"Gunnin' for That #1 Spot",2008,59,190,0,0,199,6,2
"A Very British Gangster",2008,59,191,0,0,199,6,3
"We Are Wizards",2008,59,192,0,0,199,6,4
"Hannah Montana & Miley Cyrus: Best of Both Worlds Concert",2008,59,193,0,0,199,6,5
"Definitely, Maybe",2008,59,194,0,0,199,6,6
"Beautiful Losers",2008,59,195,0,0,199,6,7
"The First Saturday in May",2008,58,196,0,0,199,6,1
"Viva",2008,58,197,0,0,199,6,2
"Adam Resurrected",2008,58,198,0,0,199,6,3
"The Reader",2008,58,199,1,0,199,6,4
"Defiance",2008,58,200,0,0,199,6,5
"The Hurt Locker",2009,95,1,1,1,243,1,1
"Sita Sings the Blues",2009,93,2,0,0,243,1,1
"35 Shots of Rum",2009,92,3,0,0,243,1,1
"Still Walking",2009,89,4,0,0,243,1,1
"Goodbye Solo",2009,89,5,0,0,243,1,2
"Tulpan",2009,88,6,0,0,243,1,1
"Up",2009,88,7,1,0,243,1,2
"Gomorrah",2009,87,8,0,0,243,1,1
"The Beaches of Agnès",2009,86,9,0,0,243,1,1
"Ponyo",2009,86,10,0,0,243,1,2
"An Education",2009,85,11,1,0,243,1,1
"Forbidden Lie$",2009,85,12,0,0,243,1,2
"The Sun",2009,85,13,0,0,243,1,3
"Summer Hours",2009,85,14,0,0,243,1,4
"Passing Strange",2009,85,15,0,0,243,1,5
"Revanche",2009,84,16,0,0,243,1,1
"Séraphine",2009,84,17,0,0,243,1,2
"The Cove",2009,84,18,0,0,243,1,3
"Crazy Heart",2009,83,19,0,0,243,1,1
"Avatar",2009,83,20,1,0,243,1,2
"Fantastic Mr. Fox",2009,83,21,0,0,243,1,3
"In the Loop",2009,83,22,0,0,243,1,4
"Taxidermia",2009,83,23,0,0,243,1,5
"Drag Me to Hell",2009,83,24,0,0,243,1,6
"Up in the Air",2009,83,25,1,0,243,1,7
"Tyson",2009,83,26,0,0,243,1,8
"Sugar",2009,82,27,0,0,243,1,1
"Star Trek",2009,82,28,0,0,243,1,2
"Anvil! The Story of Anvil",2009,82,29,0,0,243,1,3
"The White Ribbon",2009,82,30,0,0,243,1,4
"Burma VJ: Reporter i et lukket land",2009,82,31,0,0,243,1,5
"The Maid",2009,82,32,0,0,243,1,6
"The Damned United",2009,81,33,0,0,243,1,1
"Katyn",2009,81,34,0,0,243,1,2
"Bright Star",2009,81,35,0,0,243,1,3
"The Headless Woman",2009,81,36,0,0,243,1,4
"Il Divo",2009,81,37,0,0,243,1,5
"Police, Adjective",2009,81,38,0,0,243,1,6
"Of Time and the City",2009,81,39,0,0,243,1,7
"District 9",2009,81,40,1,0,243,1,8
"You, the Living",2009,81,41,0,0,243,1,9
"Food, Inc.",2009,80,42,0,0,243,1,1
"Everlasting Moments",2009,80,43,0,0,243,1,2
"Coraline",2009,80,44,0,0,243,1,3
"Tokyo Sonata",2009,80,45,0,0,243,1,4
"Lorna's Silence",2009,80,46,0,0,243,1,5
"Precious: Based on the Novel 'Push' by Sapphire",2009,79,47,1,0,243,1,1
"A Serious Man",2009,79,48,1,0,243,1,2
"Silent Light",2009,79,49,0,0,243,1,3
"The Boys: The Sherman Brothers' Story",2009,78,50,0,0,243,1,1
"O'Horten",2009,78,51,0,0,243,1,2
"Harry Potter and the Half-Blood Prince",2009,78,52,0,0,243,1,3
"Afghan Star",2009,78,53,0,0,243,1,4
"Red Riding Trilogy",2009,77,54,0,0,243,1,1
"A Single Man",2009,77,55,0,0,243,1,2
"The Messenger",2009,77,56,0,0,243,1,3
"Under the Sea 3D",2009,77,57,0,0,243,1,4
"Sin Nombre",2009,77,58,0,0,243,1,5
"Somers Town",2009,77,59,0,0,243,1,6
"Service (Serbis)",2009,76,60,0,0,243,1,1
"Broken Embraces",2009,76,61,0,0,243,1,2
"Adventureland",2009,76,62,0,0,243,1,3
"Every Little Step",2009,76,63,0,0,243,1,4
"The Baader Meinhof Complex",2009,76,64,0,0,243,1,5
"Soul Power",2009,76,65,0,0,243,1,6
"The Last Station",2009,76,66,0,0,243,1,7
"(500) Days of Summer",2009,76,67,0,0,243,1,8
"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",2009,76,68,0,0,243,1,9
"The Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers",2009,75,69,0,0,243,1,1
"24 City",2009,75,70,0,0,243,1,2
"Crude",2009,75,71,0,0,243,1,3
"That Evening Sun",2009,75,72,0,0,243,1,4
"Treeless Mountain",2009,75,73,0,0,243,1,5
"Must Read After My Death",2009,75,74,0,0,243,1,6
"Humpday",2009,74,75,0,0,243,1,1
"A Woman in Berlin",2009,74,76,0,0,243,1,2
"Flame and Citron",2009,74,77,0,0,243,1,3
"Invictus",2009,74,78,0,0,243,1,4
"Herb & Dorothy",2009,74,79,0,0,243,1,5
"Two Lovers",2009,74,80,0,0,243,1,6
"The Song of Sparrows",2009,74,81,0,0,243,1,7
"Lemon Tree",2009,74,82,0,0,243,1,8
"The House of the Devil",2009,73,83,0,0,243,1,1
"Red Cliff",2009,73,84,0,0,243,1,2
"The Princess and the Frog",2009,73,85,0,0,243,1,3
"Araya",2009,73,86,0,0,243,1,4
"Me and Orson Welles",2009,73,87,0,0,243,1,5
"Zombieland",2009,73,88,0,0,243,1,6
"The Hangover",2009,73,89,0,0,243,1,7
"Three Monkeys",2009,73,90,0,0,243,1,8
"Thirst",2009,73,91,0,0,243,1,9
"Amreeka",2009,73,92,0,0,243,1,10
"Earth",2009,72,93,0,0,243,1,1
"Good Hair",2009,72,94,0,0,243,1,2
"Lake Tahoe",2009,72,95,0,0,243,1,3
"Pressure Cooker",2009,72,96,0,0,243,1,4
"12",2009,72,97,0,0,243,1,5
"Jerichow",2009,71,98,0,0,243,1,1
"Disgrace",2009,71,99,0,0,243,1,2
"Bronson",2009,71,100,0,0,243,1,3
"Collapse",2009,71,101,0,0,243,1,4
"Where the Wild Things Are",2009,71,102,0,0,243,1,5
"In Search of Beethoven",2009,71,103,0,0,243,1,6
"The Yes Men Fix the World",2009,71,104,0,0,243,1,7
"Bliss",2009,71,105,0,0,243,1,8
"Earth Days",2009,70,106,0,0,243,1,1
"I Love You, Man",2009,70,107,0,0,243,1,2
"Public Enemies",2009,70,108,0,0,243,1,3
"Big Fan",2009,70,109,0,0,243,1,4
"Shall We Kiss?",2009,70,110,0,0,243,1,5
"Fados",2009,70,111,0,0,243,1,6
"A Town Called Panic",2009,70,112,0,0,243,1,7
"It Might Get Loud",2009,70,113,0,0,243,1,8
"At the Edge of the World",2009,70,114,0,0,243,1,9
"Inglourious Basterds",2009,69,115,1,0,243,1,1
"The Bad Lieutenant: Port of Call - New Orleans",2009,69,116,0,0,243,1,2
"Yoo-Hoo, Mrs. Goldberg",2009,69,117,0,0,243,1,3
"The September Issue",2009,69,118,0,0,243,1,4
"Beeswax",2009,69,119,0,0,243,1,5
"Duplicity",2009,69,120,0,0,243,1,6
"Cold Souls",2009,69,121,0,0,243,1,7
"Just Another Love Story",2009,69,122,0,0,243,1,8
"World's Greatest Dad",2009,69,123,0,0,243,1,9
"We Live in Public",2009,69,124,0,0,243,1,10
"Valentino: The Last Emperor",2009,68,125,0,0,243,1,1
"$9.99 ",2009,68,126,0,0,243,1,2
"The End of the Line",2009,68,127,0,0,243,1,3
"Big River Man",2009,68,128,0,0,243,1,4
"Paranormal Activity",2009,68,129,0,0,243,1,5
"Paris",2009,68,130,0,0,243,1,6
"Departures",2009,68,131,0,0,243,1,7
"Whip It",2009,68,132,0,0,243,1,8
"Moon",2009,67,133,0,0,243,1,1
"Home",2009,67,134,0,0,243,1,2
"Harmony and Me",2009,67,135,0,0,243,1,3
"Visual Acoustics",2009,67,136,0,0,243,1,4
"Rudo y Cursi",2009,67,137,0,0,243,1,5
"This Is It",2009,67,138,0,0,243,1,6
"The Way We Get By",2009,67,139,0,0,243,1,7
"Unmistaken Child",2009,66,140,0,0,243,1,1
"Julie & Julia",2009,66,141,0,0,243,1,2
"The Girlfriend Experience",2009,66,142,0,0,243,1,3
"Afterschool",2009,66,143,0,0,243,1,4
